KADF,Arkadelphia AR,34.0998056,-93.0660833
KBVX,Batesville AR,35.7262222,-91.6474444
KVBT,Bentonville AR,36.34525,-94.2193361
KHKA,Blytheville Airport AR,35.9404167,-89.8308056
KBYH,Blytheville AR,35.9643333,-89.9439444
KCDH,Camden AR,33.6228056,-92.7633889
KCCA,Clinton AR,35.59775,-92.4515833
K4M9,Corning AR,36.4042314,-90.6479264
KDEQ,De Queen AR,34.047,-94.3993611
KELD,El Dorado AR,33.2212378,-92.8117489
KFYV,Fayetteville AR,36.0050833,-94.1700556
KFLP,Flippin AR,36.2908889,-92.59025
KFSM,Fort Smith AR,35.3365833,-94.3674444
KHRO,Harrison AR,36.2615206,-93.1547289
KHOT,Hot Springs AR,34.4780278,-93.0962222
KJBR,Jonesboro AR,35.8317222,-90.6464167
KLRF,Little Rock AFB AR,34.9175121,-92.145001
KLIT,Little Rock AR,34.7294444,-92.2247778
KMEZ,Mena AR,34.5453889,-94.2026389
KLLQ,Monticello AR,33.6385556,-91.751
KMWT,Mount Ida AR,34.55,93.58
KBPK,Mountain Home AR,36.3689419,-92.4705281
KM19,Newport AR,35.6377222,-91.1763889
KPBF,Pine Bluff AR,34.1745131,-91.9356042
KROG,Rogers AR,36.3724167,-94.1069722
KRUE,Russellville AR,35.2592831,-93.0926222
KSRC,Searcy AR,35.2106097,-91.7375394
KSLG,Smith Field AR,36.1918611,-94.49
KASG,Springdale Airport AR,36.1763889,-94.11925
KXNA,Springdale AR,36.2815792,-94.3077656
KSGT,Stuttgart AR,34.5994785,-91.5750003
KTXK,Texarkana AR,33.4537222,-93.9910278
KARG,Walnut Ridge AR,36.1246667,-90.9251111
KAWM,West Memphis AR,35.1350556,-90.2344444
