KAAF,Apalachicola FL,29.7275489,-85.0273774
K1J0,Bonifay FL,30.8457778,-85.6013889
KBKV,Brooksville FL,28.4736111,-82.4554167
KCOF,Cocoa Beach FL,28.2350057,-80.6099795
KCEW,Crestview FL,30.778833,-86.5221111
KCTY,Cross City FL,29.6355278,-83.10475
KDAB,Daytona Beach FL,29.1799167,-81.0580556
K54J,DeFuniak Springs FL,30.731111,-86.1537778
KDED,DeLand FL,29.0670278,-81.28375
KDTS,Destin FL,30.400054,-86.4714729
KEGI,Duke Field FL,30.6485869,-86.5219594
KVPS,Eglin AFB FL,30.4832194,-86.5260443
KFHB,Fernadina Beach FL,30.6118333,-81.4611944
KFIN,Flager Beach FL,29.4651511,-81.2076483
KGNV,Gainesville FL,29.6900556,-82.2717778
KCRG,Jacksonville FL,30.3363333,-81.5144444
KJAX,Jacksonville Int FL,30.4940556,-81.6878333
KNIP,Jacksonville Naval FL,30.233706,-81.6760572
KISM,Kissimmee FL,28.2898056,-81.4370833
KLCQ,Lake City FL,30.1820556,-82.5768611
KLCQ,Lakeland FL,30.1820556,-82.5768611
KLEE,Leesburg FL,28.8228889,-81.8084167
K24J,Live Oak FL,30.3003889,-83.0243889
KMAI,Marianna FL,30.837805,-85.1818889
KHRT,Mary Esther FL,30.4289181,-86.6888011
KNRB,Mayport FL,30.3913742,-81.4245212
KMLB,Melbourne FL,28.10275,-80.64525
KNSE,Milton FL,30.722472,-87.0239028
KOCF,Ocala FL,29.1718768,-82.2241146
KORL,Orlando Fl,28.5454617,-81.33293
KMCO,Orlando International FL,28.4293889,-81.309
K28J,Palatka FL,29.6583825,-81.6895031
KECP,Panama City FL,30.35825,-85.7956111
KPNS,Pensacola FL,30.473425,-87.1866122
KNPA,Pensacola Naval FL,30.3532728,-87.3179711
K40J,Perry FL,30.0692778,-83.5805833
KPCM,Plant City FL,28.0001667,-82.1633056
K2J9,Quincy FL,30.5978708,-84.557425
KSFB,Sanford FL,28.7771781,-81.2349139
KSGJ,St. Augustine FL,29.9592517,-81.3397325
KTHL,Tallahassee FL,30.3967542,-84.3508689
KTTS,Titusville FL,28.6148889,-80.6943611
KPAM,Tyndall AFB,30.0690475,-85.5749814
KNDZ,Whiting Field FL,30.698575,-87.0144083
KGIF,Winter Haven FL,28.0629167,-81.7533056
KZPH,Zephyrhills FL,28.228,-82.156
