KABY,Albany GA,31.535527,-84.1944722
KAMG,Alma GA,31.5360556,-82.5065556
KACJ,Americus GA,32.110805,-84.1888611
KAHN,Athens GA,33.9486389,-83.3259167
KATL,Atlanta GA,33.636699,-84.427864
KAGS,Augusta GA,33.3699444,-81.9645
KBGE,Bainbridge GA,30.971598,-84.6369278
KBHC,Baxley GA,31.7138333,-82.3937778
KDZJ,Blairsville GA,34.8544444,-83.9973333
KBIJ,Blakely GA,31.397508,-84.8947978
KBQK,Brunswick GA,31.2590347,-81.4663158
K6A1,Butler GA,32.569771,-84.2451758
KCZL,Calhoun GA,34.4553889,-84.9391667
KCXU,Camilla GA,31.2131667,-84.2352222
K18A,Canon Ga,34.3403611,-83.1308056
KCNI,Canton GA,34.3122192,-84.4221528
KCTJ,Carrollton GA,33.6316964,-85.1522641
KVPC,Cartersville GA,34.1231475,-84.8487067
KCWV,Claxton GA,32.1950514,-81.8695597
KRYY,Cobb County GA,34.0131667,-84.5970278
KCSG,Columbus GA,32.516333,-84.9388611
KCKF,Cordele GA,31.9888333,-83.7739167
KAJR,Cornelia GA,34.4998483,-83.5566701
KCVC,Covington GA,33.6322475,-83.8466189
KDNN,Dalton GA,34.7229444,-84.87025
KDNL,Daniel Field GA,33.4665833,-82.0393889
KPDK,Dekalb County GA,33.8756111,-84.3019722
KDQH,Douglas GA,31.4767385,-82.8605664
KDBN,Dublin GA,32.5647222,-82.9849722
KEZM,Eastman Ga,32.2163889,-83.1286667
KEBA,Elberton GA,34.0953889,-82.8174722
K49A,Ellijay GA,34.6281944,-84.5265556
KFZG,Fitzgerald GA,31.6839046,-83.2709036
KLSF,Fort Benning GA,32.3317806,-84.9871522
KLHW,Fort Stewart GA,31.8878228,-81.5626522
KFTY,Fulton County GA,33.7791264,-84.521366
KGVL,Gainesville GA,34.272627,-83.8302233
K3J7,Greensboro GA,33.5979722,-83.13825
K6A2,Griffin GA,33.2269722,-84.2749444
K4A7,Hampton GA,33.3899056,-84.3310333
KAZE,Hazlehurst GA,31.8851902,-82.647891
KHOE,Homerville GA,31.0568889,-82.7752778
KSVN,Hunter Airfield GA,32.0100203,-81.1459878
KJZP,Jasper GA,34.4534722,-84.4572222
KJCA,Jefferson GA,34.1761389,-83.5616944
KJES,Jesup GA,31.5539722,-81.8825
K9A5,Lafayette GA,34.6885,-85.2903056
KLGC,Lagrange GA,33.008861,-85.0726111
KLZU,Lawrenceville GA,33.9780761,-83.9623772
KMCN,Macon GA,32.6928333,-83.6492222
KMGE,Marietta GA,33.9144417,-84.5142472
KMLJ,Milledgeville GA,33.154225,-83.2414139
KVAD,Moody AFB GA,30.9687,-83.1929639
KMGR,Moultrie GA,31.0849167,-83.80325
KCCO,Newnan GA,33.3115656,-84.7697554
KPUJ,Paulding Northwest GA,33.9120431,-84.9406194
KFFC,Peachtree City GA,33.357722,-84.5725278
KPXE,Perry GA,32.5105833,-83.7673333
KRMG,Rome GA,34.350777,-85.1586667
KOKZ,Sandersville GA,32.9667222,-82.8381667
KSAV,Savannah GA,32.1275833,-81.2021389
KSSI,St Simons Island GA,31.1519722,-81.3910556
KTBR,Statesboro GA,32.48275,-81.7369444
KSBO,Swainsboro GA,32.6091389,-82.3699444
KJYL,Sylvania GA,32.6452778,-81.5971111
KOPN,Thomaston GA,32.955002,-84.2640862
KTVI,Thomasville GA,30.9014722,-83.8814444
KHQU,Thomson GA,33.5297222,-82.5169444
KTMA,Tifton GA,31.4295556,-83.4892222
KTOC,Toccoa GA,34.5928117,-83.2963717
KVLD,Valdosta GA,30.7813722,-83.2762194
KVDI,Vidalia GA,32.1927222,-82.3711667
KWRB,Warner Robins GA,32.6401708,-83.5919208
KIIY,Washington GA,33.7794167,-82.8158333
KAYS,Waycross GA,31.2483889,-82.3953889
KWDR,Winder GA,33.9828611,-83.6674167
